Name,Symbol,RIC,Type,NAME,COMPANY NAME,ICB INDUSTRY NAME
FRAGRANCE GROUP,T:FRGL,FRAG.SI,T:FRGL,FRAGRANCE GROUP SUSP - SUSP.13/09/21,FRAGRANCE GROUP LIMITED,Real Estate
FRASER AND NEAVE,T:FRAS,FRNM.SI,T:FRAS,FRASER AND NEAVE,FRASER & NEAVE LIMITED,Industrials
FRASERS HOSPITALITY STAPLED UNITS,T:FRHO,FRHO.SI,T:FRHO,FRASERS HOSPITALITY STAPLED UNITS,FRASERS HOSPITALITY TRUST,Real Estate
FRENCKEN GROUP,T:ELTC,FREN.SI,T:ELTC,FRENCKEN GROUP,FRENCKEN GROUP LIMITED,Industrials
FTSE ASIA PACIFIC STGY. INV.,T:NAM,-,T:NAM,FTSE ASIA PACIFIC STGY. INV.,NA,Consumer Discretionary
FTSE ST CATALIST IDX MOYA ASIA,89472C,-,89472C,FTSE ST CATALIST IDX MOYA ASIA,NA,Utilities
FU YU CORPORATION,T:FUYU,FUYU.SI,T:FUYU,FU YU CORPORATION,FU YU CORPORATION LIMITED,Industrials
FULL APEX (HDG.),T:FUAP,FULL.SI,T:FUAP,FULL APEX (HDG.) SUSP - SUSP.16/02/18,FULL APEX (HOLDINGS) LTD,Basic Materials
FUXING CHINA GROUP,T:FCGT,FXCG.SI,T:FCGT,FUXING CHINA GROUP,FUXING CHINA GROUP LIMITED,Consumer Discretionary
GALLANT VENTURE,T:GAVE,GLVT.SI,T:GAVE,GALLANT VENTURE,GALLANT VENTURE LTD,Utilities
GEO ENERGY RESOURCES,T:GEOE,GEOE.SI,T:GEOE,GEO ENERGY RESOURCES,GEO ENERGY RESOURCES LIMITED,Energy
GHY CULTURE & MEDIA,T:GHCM,GHYC.SI,T:GHCM,GHY CULTURE & MEDIA,G H Y CULTURE & MEDIA HOLDING CO LTD,Consumer Discretionary
GK GOH HOLDINGS,T:GKGO,GKHS.SI,T:GKGO,GK GOH HOLDINGS,GK GOH HOLDING LTD,Financials
GLOBAL INVACOM GROUP,T:RAEL,GLOB.SI,T:RAEL,GLOBAL INVACOM GROUP,GLOBAL INVACOM GROUP LIMITED,Telecommunications
GLOBAL INVESTMENTS,T:BBSF,GLNV.SI,T:BBSF,GLOBAL INVESTMENTS,GLOBAL INVESTMENTS LIMITED,Financials
GLOBAL PALM RES.HDG.,T:GLPR,GPRL.SI,T:GLPR,GLOBAL PALM RES.HDG.,GLOBAL PALM RESOURCES HOLDINGS LIMITED,Consumer Staples
GLOBAL TESTING CORPORATION,T:GLTC,GTCL.SI,T:GLTC,GLOBAL TESTING CORPORATION,GLOBAL TESTING CORPORATION LTD,Technology
GOLDEN EN.AND RES.,T:POHL,GOLD.SI,T:POHL,GOLDEN EN.AND RES.,GOLDEN ENERGY AND RESOURCES LTD,Energy
GOODLAND GROUP,T:GODL,GLGP.SI,T:GODL,GOODLAND GROUP,GOODLAND GROUP LIMITED,Real Estate
GP INDUSTRIES,T:GPEI,GPEI.SI,T:GPEI,GP INDUSTRIES,GP INDUSTRIES LIMITED,Technology
GRAND BANKS YACHTS,T:GB,GBYL.SI,T:GB,GRAND BANKS YACHTS,GRAND BANKS YACHTS LIMITED,Consumer Discretionary
GREEN BUILD TECHNOLOGY,T:YOUC,GREE.SI,T:YOUC,GREEN BUILD TECHNOLOGY,GREEN BUILD TECHNOLOGY LTD,Consumer Staples
GRP,T:GRAP,GRPS.SI,T:GRAP,GRP,GRP LIMITED,Industrials
GSH CORPORATION,T:JELC,GSHC.SI,T:JELC,GSH CORPORATION,GSH CORPORATION LIMITED,Consumer Discretionary
GUOCOLAND,T:FCAP,GUOC.SI,T:FCAP,GUOCOLAND,GUOCOLAND LIMITED,Real Estate
GYP PROPERTIES,T:YELP,GYPP.SI,T:YELP,GYP PROPERTIES,GYP PROPERTIES LTD,Consumer Discretionary
HAFARY HOLDINGS,T:HAFA,HFRY.SI,T:HAFA,HAFARY HOLDINGS,HAFARY HOLDINGS LIMITED,Industrials
HAI LECK HOLDINGS,T:HAIL,HLHL.SI,T:HAIL,HAI LECK HOLDINGS,HAI LECK HOLDINGS LIMITED,Industrials
HALCYON AGRI,T:HALC,HALC.SI,T:HALC,HALCYON AGRI,HALCYON AGRI CORPORATION LTD,Basic Materials
HANWELL HOLDINGS,T:PROS,HANW.SI,T:PROS,HANWELL HOLDINGS,HANWELL HOLDINGS LIMITED,Consumer Staples
HAW PAR CORPORATION,T:HPBS,HPAR.SI,T:HPBS,HAW PAR CORPORATION,HAW PAR CORPORATION LIMITED,Health Care
HEETON HOLDINGS,T:HEET,HEET.SI,T:HEET,HEETON HOLDINGS,HEETON HOLDINGS LTD,Real Estate
HG METAL MNFG.,T:HGME,HGMM.SI,T:HGME,HG METAL MNFG.,HG METAL MANUFACTURING LIMITED,Basic Materials
HIAP HOE,T:CEHO,HIAP.SI,T:CEHO,HIAP HOE,HIAP HOE LIMITED,Real Estate
HIAP SENG ENGR.,T:HIAS,HSEN.SI,T:HIAS,HIAP SENG ENGR. SUSP - SUSP.28/11/19,HIAP SENG ENGINEERING LIMITED,Industrials
HL GLOBAL ENTERPRISES,T:LKNS,HLGE.SI,T:LKNS,HL GLOBAL ENTERPRISES,HL GLOBAL ENTERPRISES LIMITED,Consumer Discretionary
HO BEE LAND,T:HOBE,HBEE.SI,T:HOBE,HO BEE LAND,HO BEE LAND LTD,Real Estate
HOCK LIAN SENG HOLDINGS,T:HLS,HLSG.SI,T:HLS,HOCK LIAN SENG HOLDINGS,HOCK LIAN SENG HOLDINGS LTD,Industrials
HOE LEONG CORPORATION,T:HOEL,HLEC.SI,T:HOEL,HOE LEONG CORPORATION,HOE LEONG CORPORATION LTD,Industrials
HONG FOK CORPORATION,T:HONG,HONG.SI,T:HONG,HONG FOK CORPORATION,HONG FOK CORPORATION LIMITED,Real Estate
HONG LAI HUAT GROUP,T:HOLA,HONL.SI,T:HOLA,HONG LAI HUAT GROUP,HONG LAI HUAT GROUP LTD,Consumer Staples
HONG LEONG ASIA,T:HGLA,HLAA.SI,T:HGLA,HONG LEONG ASIA,HONG LEONG ASIA LIMITED,Industrials
HONG LEONG FINANCE,T:SINF,HLSF.SI,T:SINF,HONG LEONG FINANCE,HONG LEONG FINANCE LIMITED,Financials
HOR KEW,T:HOKE,HKEW.SI,T:HOKE,HOR KEW,HOR KEW CORP LTD,Industrials
HOTEL GRAND CENTRAL,T:HOTG,HGCS.SI,T:HOTG,HOTEL GRAND CENTRAL,HOTEL GRAND CENTRAL LIMITED,Consumer Discretionary
HOTEL PROPERTIES,T:HPRO,HPPS.SI,T:HPRO,HOTEL PROPERTIES,HOTEL PROPERTIES LIMITED,Consumer Discretionary
HOTEL ROYAL,T:ROYL,HTRS.SI,T:ROYL,HOTEL ROYAL,HOTEL ROYAL LIMITED,Real Estate
HOTUNG INVESTMENT HDG.,T:HOTI,HOTU.SI,T:HOTI,HOTUNG INVESTMENT HDG.,HOTUNG INVESTMENT HOLDINGS LIMITED,Financials
HOUR GLASS,T:HGLS,HRGS.SI,T:HGLS,HOUR GLASS,HOUR GLASS LTD,Consumer Discretionary
HRNETGROUP,T:HRNE,HRNE.SI,T:HRNE,HRNETGROUP,HRNETGROUP LTD,Industrials
HU AN CABLE HOLDINGS,T:CHHU,HACH.SI,T:CHHU,HU AN CABLE HOLDINGS SUSP - SUSP.11/12/18,HU AN CABLE HOLDINGS LIMITED,Industrials
HWA HONG CORPORATION,T:HWAH,HWHS.SI,T:HWAH,HWA HONG CORPORATION,HWA HONG CORPORATION LIMITED,Real Estate
HYFLUX,T:HYFL,HYFL.SI,T:HYFL,HYFLUX SUSP - SUSP.21/05/18,HYFLUX LTD,Utilities
IFS CAPITAL,T:INFA,IFAC.SI,T:INFA,IFS CAPITAL,IFS CAPITAL LIMITED,Financials
INDOFOOD AGRI RESOURCES,T:CTYA,IFAR.SI,T:CTYA,INDOFOOD AGRI RESOURCES,INDOFOOD AGRI RESOURCES LTD,Consumer Staples
INFORMATICS EDUCATION,T:INFO,INFO.SI,T:INFO,INFORMATICS EDUCATION,INFORMATICS EDUCATION LIMITED,Consumer Discretionary
INNOTEK,T:MAGN,INTK.SI,T:MAGN,INNOTEK,INNOTEK LTD,Industrials
INTERNATIONAL CEMENT GROUP,T:COMM,INTN.SI,T:COMM,INTERNATIONAL CEMENT GROUP,INTERNATIONAL CEMENT GROUP LTD,Industrials
INTERRA RES.,T:VANS,INTR.SI,T:VANS,INTERRA RES.,INTERRA RESOURCES LIMITED,Energy
INTRACO,T:INTR,ITRS.SI,T:INTR,INTRACO,INTRACO LIMITED,Industrials
IPC CORPORATION,T:IPCC,IPCC.SI,T:IPCC,IPC CORPORATION,IPC CORPORATION LIMITED,Real Estate
IPS SECUREX HOLDINGS,T:IPSS,IPSS.SI,T:IPSS,IPS SECUREX HOLDINGS,IPS SECUREX HOLDINGS LTD,Industrials
IREIT GLOBAL,T:IREI,IREI.SI,T:IREI,IREIT GLOBAL,IREIT GLOBAL,Real Estate
ISDN HOLDINGS,T:ISDN,ISDN.SI,T:ISDN,ISDN HOLDINGS,ISDN HOLDINGS LIMITED,Industrials
ISETAN (SINGAPORE),T:ISET,ISET.SI,T:ISET,ISETAN (SINGAPORE),ISETAN (SINGAPORE) LTD,Consumer Discretionary
JACKSPEED CORPORATION,T:JKSP,JACK.SI,T:JKSP,JACKSPEED CORPORATION SUSP - SUSP.07/01/20,JACKSPEED CORPORATION LTD,Consumer Discretionary
JADASON ENTERPRISES,T:JADA,JADA.SI,T:JADA,JADASON ENTERPRISES,JADASON ENTERPRISES LIMITED,Technology
JAPFA,T:JAPF,JAPF.SI,T:JAPF,JAPFA,JAPFA LTD,Consumer Staples
JASPER INVESTMENTS,T:ECON,JASP.SI,T:ECON,JASPER INVESTMENTS,JASPER INVESTMENTS LIMITED,Industrials
JAWALA,T:JAWA,-,T:JAWA,JAWALA,JAWALA INC,Basic Materials
JB FOODS,T:JBFD,JBFO.SI,T:JBFD,JB FOODS,JB FOODS LTD,Consumer Staples
JES INTERNATIONAL HDG.,T:JESI,JSIH.SI,T:JESI,JES INTERNATIONAL HDG. SUSP - SUSP.01/02/16,JES INTERNATIONAL HOLDINGS LIMITED,Industrials
KARIN TECH.HDG.,T:KTHL,KARI.SI,T:KTHL,KARIN TECH.HDG.,KARIN TECHNOLOGY HOLDINGS LIMITED,Industrials
KENCANA AGRI,T:KAL,KCAL.SI,T:KAL,KENCANA AGRI,KENCANA AGRI LIMITED,Consumer Staples
KEONG HONG HOLDINGS,T:KHHL,KEHO.SI,T:KHHL,KEONG HONG HOLDINGS,KEONG HONG HOLDINGS LTD,Industrials
KEPPEL PACIFIC OAK US REIT UNIT,T:KPEL,KPEL.SI,T:KPEL,KEPPEL PACIFIC OAK US REIT UNIT,KEPPEL PACIFIC OAK US REIT,Real Estate
KHONG GUAN FLOUR MILL.,T:GUAN,KHON.SI,T:GUAN,KHONG GUAN FLOUR MILL.,KHONG GUAN LTD,Consumer Staples
KING WAN CORPORATION,T:KINW,KIWC.SI,T:KINW,KING WAN CORPORATION,KING WAN CORPORATION LIMITED,Industrials
KINGSMEN CREATIVES,T:KING,KMEN.SI,T:KING,KINGSMEN CREATIVES,KINGSMEN CREATIVES LTD,Industrials
KODA,T:KODA,KODA.SI,T:KODA,KODA,KODA LIMITED,Consumer Discretionary
KOH BROTHERS GROUP,T:KOHB,KBRO.SI,T:KOHB,KOH BROTHERS GROUP,KOH BROTHERS GROUP LIMITED,Industrials
KOUFU GROUP,T:KOUF,KOUF.SI,T:KOUF,KOUFU GROUP,KOUFU GROUP LTD,Consumer Discretionary
KRISENERGY,T:KRIE,KRIS.SI,T:KRIE,KRISENERGY SUSP - SUSP.14/08/19,KRISENERGY LTD,Energy
KS ENERGY,T:KSTE,KSTL.SI,T:KSTE,KS ENERGY SUSP - SUSP.13/08/20,KS ENERGY LTD,Energy
KSH HOLDINGS,T:KSHL,KSHH.SI,T:KSHL,KSH HOLDINGS,KSH HOLDINGS LTD,Industrials
KTL GLOBAL,T:KTLG,KTLG.SI,T:KTLG,KTL GLOBAL SUSP - SUSP.17/08/21,KTL GLOBAL LIMITED,Energy
LEADER ENV.TECHS.,T:LDER,LETL.SI,T:LDER,LEADER ENV.TECHS.,LEADER ENVIRONMENTAL TECHNOLOGIES LIMITED,Utilities
LENDLEASE GLOBAL COMMERCIAL REIT,T:LGCR,LEND.SI,T:LGCR,LENDLEASE GLOBAL COMMERCIAL REIT,LENDLEASE GLOBAL COMMERCIAL REIT,Real Estate
LHN,T:LHNL,-,T:LHNL,LHN,LHN LTD,Real Estate
LHT HOLDINGS,T:LHTH,LHTH.SI,T:LHTH,LHT HOLDINGS,LHT HOLDINGS LIMITED,Industrials
LIAN BENG GROUP,T:LIAB,LIBG.SI,T:LIAB,LIAN BENG GROUP,LIAN BENG GROUP LIMITED,Industrials
LION ASIAPAC,T:META,LIAS.SI,T:META,LION ASIAPAC,LION ASIAPAC LIMITED,Industrials
LIPPO MALLS INDO.RET. TST.,T:LIPO,LMRT.SI,T:LIPO,LIPPO MALLS INDO.RET. TST.,LIPPO MALLS INDONESIA RETAIL TRUST,Real Estate
LORENZO INTL.,T:LOIL,LRZI.SI,T:LOIL,LORENZO INTL. SUSP - SUSP.17/12/18,LORENZO INTERNATIONAL LTD,Consumer Discretionary
LOW KENG HUAT (SING.),T:LOKH,LKH.SI,T:LOKH,LOW KENG HUAT (SING.),LOW KENG HUAT (SINGAPORE) LTD,Industrials
LUM CHANG HOLDINGS,T:LUMC,LUCS.SI,T:LUMC,LUM CHANG HOLDINGS,LUM CHANG HOLDINGS LIMITED,Industrials
LUXKING GROUP HDG.,T:LUXK,LUKG.SI,T:LUXK,LUXKING GROUP HDG.,LUXKING GROUP HOLDINGS LTD,Basic Materials
MANHATTAN RESOURCES,T:LIKS,MANH.SI,T:LIKS,MANHATTAN RESOURCES,MANHATTAN RESOURCES LIMITED,Industrials
MANUFACTURING INTG.TECH.,T:MAIN,MITD.SI,T:MAIN,MANUFACTURING INTG.TECH.,MANUFACTURING INTEGRATION TECHNOLOGY LIMITED,Technology
MANULIFE US REAL ESTATE INV.TST.,T:MANU,MANU.SI,T:MANU,MANULIFE US REAL ESTATE INV.TST.,MANULIFE US REAL ESTATE INVESTMENT TRUST,Real Estate
MARCO POLO MARINE,T:MARP,MAPM.SI,T:MARP,MARCO POLO MARINE,MARCO POLO MARINE LIMITED,Industrials
MDR,T:ACCS,MDRT.SI,T:ACCS,MDR,MDR LIMITED,Consumer Discretionary
MENCAST HOLDINGS,T:MENC,MCHL.SI,T:MENC,MENCAST HOLDINGS,MENCAST HOLDINGS LIMITED,Industrials
MERMAID MARITIME,T:MMPC,MMPC.SI,T:MMPC,MERMAID MARITIME,MERMAID MARITIME PCL,Energy
METRO HOLDINGS,T:METR,MTHL.SI,T:METR,METRO HOLDINGS,METRO HOLDINGS LIMITED,Consumer Discretionary
MEWAH INTERNATIONAL,T:MWH,MEWI.SI,T:MWH,MEWAH INTERNATIONAL,MEWAH INTERNATIONAL INC,Consumer Staples
MICRO-MECHANICS (HDG.),T:MCMH,MMEC.SI,T:MCMH,MICRO-MECHANICS (HDG.),MICRO-MECHANICS (HOLDINGS) LTD,Industrials
MIDAS HDG.,T:MIDS,MIDA.SI,T:MIDS,MIDAS HDG. SUSP - SUSP.12/02/18,MIDAS HOLDINGS LIMITED,Basic Materials
MINDCHAMPS PRESCHOOL,T:MINX,MIND.SI,T:MINX,MINDCHAMPS PRESCHOOL,MINDCHAMPS PRESCHOOL LTD,Consumer Discretionary
MIRACH ENERGY,T:CHPT,MIEL.SI,T:CHPT,MIRACH ENERGY SUSP - SUSP.05/10/20,MIRACH ENERGY LIMITED,Energy
MM2 ASIA,T:MMAL,MM2A.SI,T:MMAL,MM2 ASIA,MM2 ASIA LTD,Consumer Discretionary
MTQ CORPORATION,T:MTLK,MTLS.SI,T:MTLK,MTQ CORPORATION,MTQ CORPORATION LIMITED,Energy
MULTI-CHEM,T:MUCH,MCHE.SI,T:MUCH,MULTI-CHEM,MULTI-CHEM LTD,Technology
MUN SIONG ENGINEERING,T:MSEL,MSEL.SI,T:MSEL,MUN SIONG ENGINEERING,MUN SIONG ENGINEERING LIMITED,Energy
MYP,T:COUG,MYPL.SI,T:COUG,MYP,MYP LTD,Industrials
NAM CHEONG,T:EABH,NMCG.SI,T:EABH,NAM CHEONG SUSP - SUSP.28/04/20,NAM CHEONG LTD,Industrials
NAM LEE PRESSED MTL. INDS.,T:NAML,NLPM.SI,T:NAML,NAM LEE PRESSED MTL. INDS.,NAM LEE PRESSED METAL INDUSTRIES LIMITED,Industrials
NERA TELECOM.,T:NERT,NERA.SI,T:NERT,NERA TELECOM.,NERA TELECOMMUNICATIONS LTD,Telecommunications
NEW SILKROUTES GROUP,T:DIGI,NEWS.SI,T:DIGI,NEW SILKROUTES GROUP,NEW SILKROUTES GROUP LTD,Technology
NEW TOYO INTL.HDG.,T:NEWT,NTYO.SI,T:NEWT,NEW TOYO INTL.HDG.,NEW TOYO INTERNATIONAL HOLDINGS LIMITED,Basic Materials
NGSC,T:BAJO,NGSC.SI,T:BAJO,NGSC SUSP - SUSP.03/01/20,NGSC LTD,Telecommunications
NICO STEEL HOLDINGS,T:NISH,NICO.SI,T:NISH,NICO STEEL HOLDINGS SUSP - SUSP.16/11/20,NICO STEEL HOLDINGS LIMITED,Basic Materials
NIPPECRAFT,T:NIPP,-,T:NIPP,NIPPECRAFT,NIPPECRAFT LIMITED,Consumer Staples
NOBLE GROUP,T:NOBE,NOBG.SI,T:NOBE,NOBLE GROUP SUSP - SUSP.19/11/18,NOBLE GROUP LIMITED,Industrials
NOEL GIFTS INTL.,T:NOEL,NOEL.SI,T:NOEL,NOEL GIFTS INTL.,NOEL GIFTS INTERNATIONAL LIMITED,Consumer Discretionary
NORDIC GROUP,T:NGL,NRGL.SI,T:NGL,NORDIC GROUP,NORDIC GROUP LIMITED,Energy
NSL,T:NATS,NATS.SI,T:NATS,NSL,NSL LIMITED,Basic Materials
NUTRYFARM INTL.,T:MULT,NUTR.SI,T:MULT,NUTRYFARM INTL.,NUTRYFARM INTERNATIONAL LTD,Technology
OCEAN SKY INTL.,T:OSKY,OCEA.SI,T:OSKY,OCEAN SKY INTL.,OCEAN SKY INTERNATIONAL LTD,Consumer Discretionary
OCEANUS GROUP,T:TRNT,OCGL.SI,T:TRNT,OCEANUS GROUP,OCEANUS GROUP LIMITED,Consumer Staples
OKH GLOBAL,T:SINO,OKHG.SI,T:SINO,OKH GLOBAL,OKH GLOBAL LTD,Technology
OKP HOLDINGS,T:OKPH,OKPH.SI,T:OKPH,OKP HOLDINGS,OKP HOLDINGS LTD,Industrials
OSSIA INTERNATIONAL,T:OSSI,OSSA.SI,T:OSSI,OSSIA INTERNATIONAL,OSSIA INTERNATIONAL LIMITED,Consumer Discretionary
OUE,T:OUES,OVES.SI,T:OUES,OUE,OUE LTD,Consumer Discretionary
OUE COMMERCIAL REIT,T:OECC,OUEC.SI,T:OECC,OUE COMMERCIAL REIT,OUE COMMERCIAL REAL ESTATE INVESTMENT TRUST,Real Estate
OUHUA ENERGY HOLDINGS,T:OEHL,OUEH.SI,T:OEHL,OUHUA ENERGY HOLDINGS,OUHUA ENERGY HOLDINGS LTD,Energy
OVERSEAS EDUCATION,T:OSED,OVER.SI,T:OSED,OVERSEAS EDUCATION,OVERSEAS EDUCATION LTD,Consumer Discretionary
OXLEY HOLDINGS,T:OXH,OXHL.SI,T:OXH,OXLEY HOLDINGS,OXLEY HOLDINGS LIMITED,Real Estate
PACIFIC ANDES RSDLP.,T:ANDE,PACF.SI,T:ANDE,PACIFIC ANDES RSDLP. SUSP - SUSP.01/02/16,PACIFIC ANDES RESOURCES DEVELOPMENT LIMITED,Consumer Staples
PACIFIC CEN.REGL.DEVS.,T:SEAS,PCEN.SI,T:SEAS,PACIFIC CEN.REGL.DEVS.,PACIFIC CENTURY REGIONAL DEVELOPMENTS LTD,Telecommunications
PACIFIC RADIANCE,T:PACI,PACI.SI,T:PACI,PACIFIC RADIANCE SUSP - SUSP.28/02/18,PACIFIC RADIANCE LTD,Energy
PAN HONG HOLDINGS GROUP,T:PANH,PANH.SI,T:PANH,PAN HONG HOLDINGS GROUP,PAN HONG HOLDINGS GROUP LTD,Real Estate
PAN UNITED CORPORATION,T:PANU,PANU.SI,T:PANU,PAN UNITED CORPORATION,PAN-UNITED CORPORATION LIMITED,Industrials
PARKSON RETAIL ASIA,T:PRAL,PRAL.SI,T:PRAL,PARKSON RETAIL ASIA,PARKSON RETAIL ASIA LTD,Consumer Discretionary
PAVILLON HOLDINGS,T:THVI,PAVI.SI,T:THVI,PAVILLON HOLDINGS,PAVILLON HOLDINGS LTD,Consumer Discretionary
PEC,T:PECL,PECL.SI,T:PECL,PEC,PEC LIMITED,Industrials
PENGUIN INTERNATIONAL,T:PENG,PGUN.SI,T:PENG,PENGUIN INTERNATIONAL,PENGUIN INTERNATIONAL LIMITED,Consumer Discretionary
PHARMESIS INTL.,T:PHRS,PHAR.SI,T:PHRS,PHARMESIS INTL.,PHARMESIS INTERNATIONAL LTD,Health Care
PLASTOFORM HOLDINGS,T:PFHL,PFML.SI,T:PFHL,PLASTOFORM HOLDINGS SUSP - SUSP.04/04/19,PLASTOFORM HOLDINGS LTD,Consumer Discretionary
PNE INDUSTRIES,T:PNEI,PNEI.SI,T:PNEI,PNE INDUSTRIES,PNE INDUSTRIES LTD,Industrials
POWERMATIC DATA SYSTEMS,T:PMDS,PMDS.SI,T:PMDS,POWERMATIC DATA SYSTEMS,POWERMATIC DATA SYSTEMS LIMITED,Technology
PRIME US REIT,T:PURU,PRIE.SI,T:PURU,PRIME US REIT,PRIME US REIT,Real Estate
PROCURRI,T:PROC,PROC.SI,T:PROC,PROCURRI,PROCURRI CORPORATION LTD,Technology
PROPNEX,T:PROP,PROP.SI,T:PROP,PROPNEX,PROPNEX LTD,Real Estate
PSL HOLDINGS,T:PSLH,PSLL.SI,T:PSLH,PSL HOLDINGS SUSP - SUSP.20/07/20,PSL HOLDINGS LIMITED,Industrials
Q&M DENTAL GP.(SING.),T:QMD,QMDT.SI,T:QMD,Q&M DENTAL GP.(SING.),Q & M DENTAL GROUP (SINGAPORE) LIMITED,Health Care
QAF,T:QAFS,QAFS.SI,T:QAFS,QAF,QAF LIMITED,Consumer Staples
QIAN HU,T:QIHU,QIAN.SI,T:QIHU,QIAN HU,QIAN HU CORPORATION LIMITED,Consumer Staples
RAFFLES EDUCATION,T:RAFL,RLSE.SI,T:RAFL,RAFFLES EDUCATION,RAFFLES EDUCATION CORPORATION LIMITED,Consumer Discretionary
RAFFLES INFRASTRUCTURE HOLDINGS,T:CFL,RAFL.SI,T:CFL,RAFFLES INFRASTRUCTURE HOLDINGS,RAFFLES INFRASTRUCTURE HOLDINGS LTD,Consumer Discretionary
REENOVA INVESTMENT HOLDING,T:SBIE,REEN.SI,T:SBIE,REENOVA INVESTMENT HOLDING,REENOVA INVESTMENT HOLDING LTD,Financials
REGAL INTERNATIONAL GP.,T:HIH,REGI.SI,T:HIH,REGAL INTERNATIONAL GP. SUSP - SUSP.30/03/21,REGAL INTERNATIONAL GROUP LTD,Technology
RENAISSANCE UNITED,T:IPCO,RENA.SI,T:IPCO,RENAISSANCE UNITED,RENAISSANCE UNITED LTD,Industrials
RH PETROGAS,T:TRIM,RHPG.SI,T:TRIM,RH PETROGAS,RH PETROGAS LTD,Technology
RHT HEALTH TRUST,T:RELI,RHTH.SI,T:RELI,RHT HEALTH TRUST SUSP - SUSP.28/11/19,RHT HEALTH TRUST,Health Care
RIVERSTONE HOLDINGS,T:RSHL,RVHL.SI,T:RSHL,RIVERSTONE HOLDINGS,RIVERSTONE HOLDINGS LTD,Health Care
ROXY-PACIFIC HOLDINGS,T:RPH,RXYP.SI,T:RPH,ROXY-PACIFIC HOLDINGS,ROXY PACIFIC HOLDINGS LTD,Real Estate
RYOBI KISO HOLDINGS,T:RYOB,RKHL.SI,T:RYOB,RYOBI KISO HOLDINGS SUSP - SUSP.27/06/18,RYOBI KISO HOLDINGS LIMITED,Industrials
SAKAE HOLDINGS,T:APEX,SAKA.SI,T:APEX,SAKAE HOLDINGS,SAKAE HOLDINGS LIMITED,Consumer Discretionary
SAMKO TIMBER,T:SAMK,SAMT.SI,T:SAMK,SAMKO TIMBER,SAMKO TIMBER LIMITED,Basic Materials
SAMUDERA SHIP.LINE,T:SAMU,SAMU.SI,T:SAMU,SAMUDERA SHIP.LINE,SAMUDERA SHIPPING LINE LIMITED,Industrials
SAPPHIRE CORPORATION,T:IREC,SAPP.SI,T:IREC,SAPPHIRE CORPORATION,SAPPHIRE CORPORATION LIMITED,Industrials
SARINE TECHNOLOGIES,T:SATL,SARI.SI,T:SATL,SARINE TECHNOLOGIES,SARINE TECHNOLOGIES LTD,Industrials
SASSEUR REIT UNITS,T:SASS,SASS.SI,T:SASS,SASSEUR REIT UNITS,SASSEUR REAL ESTATE INVESTMENT TRUST,Real Estate
SB.SHARI AH CMN. INDL. REIT,T:SSC,SABA.SI,T:SSC,SB.SHARI AH CMN. INDL. REIT,SABANA SHARIAH COMPLIANT REIT,Real Estate
SBS TRANSIT,T:SINB,SBVV.SI,T:SINB,SBS TRANSIT,SBS TRANSIT LIMITED,Consumer Discretionary
SECOND CHANCE PROPS.,T:SECO,SECD.SI,T:SECO,SECOND CHANCE PROPS.,SECOND CHANCE PROPERTIES LIMITED,Consumer Discretionary
SEE HUP SENG,T:SEEH,SEEH.SI,T:SEEH,SEE HUP SENG,SHS HOLDINGS LTD,Industrials
SERIAL SYSTEM,T:SERS,SERL.SI,T:SERS,SERIAL SYSTEM,SERIAL SYSTEM LIMITED,Technology
SEROJA INVESTMENTS,T:LMGI,SERO.SI,T:LMGI,SEROJA INVESTMENTS SUSP - SUSP.12/10/20,SEROJA INVESTMENTS LIMITED,Industrials
SHANGHAI TURBO ENTS.,T:STEL,SHTU.SI,T:STEL,SHANGHAI TURBO ENTS.,SHANGHAI TURBO ENTERPRISES LTD,Industrials
SHENG SIONG GROUP,T:SSG,SHEN.SI,T:SSG,SHENG SIONG GROUP,SHENG SIONG GROUP LTD,Consumer Staples
SHINVEST HOLDING,T:EATE,SHIN.SI,T:EATE,SHINVEST HOLDING,SHINVEST HOLDING LTD,Technology
SIA ENGINEERING,T:SIAE,SIAE.SI,T:SIAE,SIA ENGINEERING,SIA ENGINEERING COMPANY LTD,Industrials
SIIC ENVIRONMENT HDG.,T:ASWT,SIIC.SI,T:ASWT,SIIC ENVIRONMENT HDG.,SIIC ENVIRONMENT HOLDINGS LTD,Utilities
SILVERLAKE AXIS,T:AXIS,SLVX.SI,T:AXIS,SILVERLAKE AXIS,SILVERLAKE AXIS LIMITED,Technology
SIN HENG HEAVY MCH.,T:SHHM,SIHM.SI,T:SHHM,SIN HENG HEAVY MCH.,SIN HENG HEAVY MACHINERY LIMITED,Industrials
SINARMAS LAND,T:AFAP,SINA.SI,T:AFAP,SINARMAS LAND,SINARMAS LAND LIMITED,Consumer Staples
SING HOLDINGS,T:SIHO,SHDS.SI,T:SIHO,SING HOLDINGS,SING HOLDINGS LTD,Real Estate
SING INVESTMENTS & FIN.,T:SGIF,SINV.SI,T:SGIF,SING INVESTMENTS & FIN.,SING INVESTMENTS & FINANCE LIMITED,Financials
SINGAPORE INDEX FUND,T:SRIF,SRIF.SI,T:SRIF,SINGAPORE INDEX FUND,NA,Financials
SINGAPORE MYANMAR INVESTCO,T:SIWH,SINO.SI,T:SIWH,SINGAPORE MYANMAR INVESTCO,SINGAPORE MYANMAR INVESTCO LTD,Industrials
