Name,Symbol,RIC,Type,NAME,COMPANY NAME,ICB INDUSTRY NAME
HUTCHISON PORT (SES) HOLDINGS UNITS,T:HPHH,HPHT.SI,T:HPHH,HUTCHISON PORT (SES) HOLDINGS UNITS,HUTCHISON PORT HOLDINGS TRUST,Industrials
IFAST,T:IFAS,IFAS.SI,T:IFAS,IFAST,IFAST CORPORATION LTD,Technology
JARDINE CYC.& CARR.,T:CYCL,JCYC.SI,T:CYCL,JARDINE CYC.& CARR.,JARDINE CYCLE & CARRIAGE LIMITED,Consumer Discretionary
KEPPEL,T:KEPP,KPLM.SI,T:KEPP,KEPPEL,KEPPEL CORPORATION LIMITED,Energy
KEPPEL DC REIT UNT,T:KEDC,KEPE.SI,T:KEDC,KEPPEL DC REIT UNT,KEPPEL DC REIT,Real Estate
KEPPEL INFRA UNIT,T:CIMP,KEPL.SI,T:CIMP,KEPPEL INFRA UNIT,KEPPEL INFRASTRUCTURE TRUST,Utilities
KEPPEL REIT,T:KRAL,KASA.SI,T:KRAL,KEPPEL REIT,KEPPEL REIT,Real Estate
MAND.ORNTL.INTL.,T:MAND,MOIL.SI,T:MAND,MAND.ORNTL.INTL.,MANDARIN ORIENTAL INTERNATIONAL LTD,Consumer Discretionary
MAPLETREE COML.TRUST,T:MTRE,MACT.SI,T:MTRE,MAPLETREE COML.TRUST,MAPLETREE COMMERCIAL TRUST,Real Estate
MAPLETREE INDUSTIAL TST.,T:MAPI,MAPI.SI,T:MAPI,MAPLETREE INDUSTIAL TST.,MAPLETREE INDUSTRIAL TRUST,Real Estate
MAPLETREE LOGIST.TRUST,T:MPLT,MAPL.SI,T:MPLT,MAPLETREE LOGIST.TRUST,MAPLETREE LOGISTICS TRUST MANAGEMENT LIMITED,Real Estate
MAPLETREE NORTH ASIA COMMERCIAL TRUST,T:MAPL,MAPE.SI,T:MAPL,MAPLETREE NORTH ASIA COMMERCIAL TRUST,MAPLETREE NORTH ASIA COMMERCIAL TRUST,Real Estate
